ID;Title;DOI;DOI link;original CES;CES ;IPBES categories;Codigo IPBES;Definition;well defined
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Aesthetics;Enjoy the landscape;Physical and psychological experiences;16;"The definition is not exact but these are the key words to define the CES: view, scene, sunset, wonder, abandon 
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Cultural diversity;Cultural heritage;Supporting identities;17;"The definition is not exact but these are the key words to define the CES: people, museum, indian, culture, river
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Cultural heritage;Cultural heritage;Supporting identities;17;"The definition is not exact but these are the key words to define the CES: camping, tourism, memory, farm, art
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Education;Environmental education;Learning and inspiration;15;"The definition is not exact but these are the key words to define the CES: think, museum, explore, class, discover
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Existence;Maintenance of options;Maintenance of options;18;"The definition is not exact but these are the key words to define the CES: river, water, park,Animals_ANY, wild
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Inspiration*;Psychological experiences;Physical and psychological experiences;16;"The definition is not exact but these are the key words to define the CES: memory, love, think, art, wonder
";no
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Inspiration*;Artistic inspiration;Learning and inspiration;15;"The definition is not exact but these are the key words to define the CES: memory, love, think, art, wonder
";no
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Knowledge systems;Research;Learning and inspiration;15;"The definition is not exact but these are the key words to define the CES: PlantParts, think, native, museum, discover
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Recreation;Recreation;Physical and psychological experiences;16;"The definition is not exact but these are the key words to define the CES: travel, boating, camping, raft, cycle
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Sense of place;Cultural heritage;Supporting identities;17;"The definition is not exact but these are the key words to define the CES: abandon, historic, connect, Culture, folk
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Social relations;Social relations;Supporting identities;17;"The definition is not exact but these are the key words to define the CES: wedding, family, celebrate, memory, love
";yes
15;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;10.1016/j.ecolind.2019.105580;Spiritual;Spiritual significance;Supporting identities;17;"The definition is not exact but these are the key words to define the CES: celebrate, memory, love, mission, reflect
";yes
13;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;10.1016/j.ecolind.2015.12.042;Physical and experiential interactions*;Enjoy the fauna and flora;Physical and psychological experiences;16;Experiential use and enjoyment of wildlife – represented by photographs of wildlife ;no
13;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;10.1016/j.ecolind.2015.12.042;Physical and experiential interactions*;Enjoy the landscape;Physical and psychological experiences;16;Physical use of landscapes ;no
13;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;10.1016/j.ecolind.2015.12.042;Physical and experiential interactions*;Recreation;Physical and psychological experiences;16;Photographs of sport and recreational activities, such as skiing, climbing, hiking, camping and others.;no
13;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;10.1016/j.ecolind.2015.12.042;Intellectual and representative interactions*;Environmental education;Learning and inspiration;15;Educational activities – represented by photographs of groups of students undertaking nature-related activities ;no
13;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;10.1016/j.ecolind.2015.12.042;Intellectual and representative interactions*;Enjoy the landscape;Physical and psychological experiences;16;Landscape aesthetics – photographs of natural and anthropic landscapes;no
13;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;10.1016/j.ecolind.2015.12.042;Intellectual and representative interactions*;Cultural heritage;Supporting identities;17;Cultural heritage – representation of traditional livestock feeding practices and lifestyle related to agricultural heritage;no
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Cultural heritage and identity;Cultural heritage;Supporting identities;17;Value of landscapes, ecosystems, species or sites for local heritage and culture (including tangible and intangible heritage).;yes
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Inspiration;Psychological experiences;Physical and psychological experiences;16;Use of landscapes, ecosystems and their elements in arts, architecture, advertising, local symbols, folklore, etc;yes
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Inspiration*;Artistic inspiration;Learning and inspiration;15;Use of landscapes, ecosystems and their elements in arts, architecture, advertising, local symbols, folklore, etc;no
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Recreation;Recreation;Physical and psychological experiences;16;Opportunities provided by ecosystems (their biotic and abiotic elements) for recreational activities.;yes
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Scientific and educational*;Research;Learning and inspiration;15;Research or educational activities conducted through the natural environment of the ecosystem and its biological and non-biological components. Examples: Comments containing attractions for educational training or research activities, (e.g., educational bases).;no
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Scientific and educational*;Environmental education;Learning and inspiration;15;Research or educational activities conducted through the natural environment of the ecosystem and its biological and non-biological components. Examples: Comments containing attractions for educational training or research activities, (e.g., educational bases).;no
12;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;10.1016/j.ecolind.2018.08.043;Spiritual and religious;Spiritual significance;Supporting identities;17;Use of landscapes, ecosystems and their elements for religious or spiritual purposes;yes
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Aesthetic;Enjoy the landscape;Physical and psychological experiences;16;Aesthetic services are the combination of the pluralistic attractiveness of nature from the perspective of different civilizations. Coastal ecosystems are composed of various landscape elements, and their appreciation is evaluated from specific landscape elements and overall preferences.;yes
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Amenity;Recreation;Physical and psychological experiences;16;Amenity services represent the impact of natural components on human communities (Cochrane, 2006). A comfortable environment is visible and unique for both visitors and residents with reliable infrastructures in coastal attractions ;yes
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Knowledge*;Environmental education;Learning and inspiration;15;From indigenous knowledge systems to modern science, knowledge of the ecological environment is essential for the sustainable use of natural resources, climate change adaptation, and ecosystem resilience (Díaz et al., 2018, Haines-Young and Potschin-Young, 2018). The coastal ecosystem provides a material basis for scientific research and education. For example, coastal and oceanic observatories offer services for delivering high-quality environmental data to meet societal and political needs (El Serafy, 2020). Such an ecosystem enables people to draw on relevant knowledge identified as knowledge services. Recently, social media propagation has raised public awareness of the natural environment witnessed by both celebrities and ordinary people (Richards and Friess, 2015).;no
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Knowledge*;Research;Learning and inspiration;15;From indigenous knowledge systems to modern science, knowledge of the ecological environment is essential for the sustainable use of natural resources, climate change adaptation, and ecosystem resilience (Díaz et al., 2018, Haines-Young and Potschin-Young, 2018). The coastal ecosystem provides a material basis for scientific research and education. For example, coastal and oceanic observatories offer services for delivering high-quality environmental data to meet societal and political needs (El Serafy, 2020). Such an ecosystem enables people to draw on relevant knowledge identified as knowledge services. Recently, social media propagation has raised public awareness of the natural environment witnessed by both celebrities and ordinary people (Richards and Friess, 2015).;no
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Naturalistic;Enjoy the fauna and flora;Physical and psychological experiences;16;Proenvironmental attitudes and behaviors and consciousness of mediating a proper relationship between all living organisms on Earth (Katz-Gerro and Orenstein, 2015) inspire people to pursue a greater sense of spiritual well-being. Notably, the coastal biome is one of the habitats with the greatest diversity of species in the world (Wolanski and McLusky, 2011). However, unique biomes such as mangroves and wetlands near coastal cities are threatened by extensive reclamation projects, depleting fish stocks, and coastal waters tainted by domestic waste and pollutants (Friess, 2017, Garcia Rodrigues et al., 2017). Thus, an assessment of naturalistic services is a preliminary practice for developing sustainable coastal tourism.;yes
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Recreational;Recreation;Physical and psychological experiences;16;Recreational services represent the cultural benefits arising from sports-related activities, which include land and water recreation (Jackson et al., 2013, Balzan and Debono, 2018, Havinga et al., 2020). Many outdoor recreational activities in coastal areas are dependent on the availability and distribution of ecosystems, including those for jogging, cycling, and sailing. Recreational services benefit people's health and well-being by providing a pleasant physical environment.;yes
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Spiritual and religious*;Spiritual significance;Supporting identities;17;A sacred landscape in the wild is central to religious tourism or secular pilgrimage, arousing beliefs of the past and promoting a heritage of cultural memory (Hernández-Morcillo et al., 2013, Clemente et al., 2019). In residing in a coastal environment for centuries, communities with racial and ethnic differences have particular cultures of entertainment, recreation, social customs, and habits that shape religious beliefs and essential elements of their lives.;no
21;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;10.1016/j.ecolind.2022.108756;Spiritual and religious*;Cultural heritage;Supporting identities;17;A sacred landscape in the wild is central to religious tourism or secular pilgrimage, arousing beliefs of the past and promoting a heritage of cultural memory (Hernández-Morcillo et al., 2013, Clemente et al., 2019). In residing in a coastal environment for centuries, communities with racial and ethnic differences have particular cultures of entertainment, recreation, social customs, and habits that shape religious beliefs and essential elements of their lives.;no
4;Assessing forest recreational potential from social media data and remote sensing technologies data;10.1016/j.ecolind.2023.110165;10.1016/j.ecolind.2023.110165;Aesthetic activities;Enjoy the landscape;Physical and psychological experiences;16;"In the aesthetic category, were included: (i) pictures depicting natural landscapes and skyscapes (ii) pictures depicting vegetation; (iii) pictures depicting natural features (e.g. mountains, lakes, streams, waterfalls, etc.)";yes
4;Assessing forest recreational potential from social media data and remote sensing technologies data;10.1016/j.ecolind.2023.110165;10.1016/j.ecolind.2023.110165;Recreational activities*;Recreation;Physical and psychological experiences;16;"In the recreation category, were included: (i) pictures depicting people engaging in recreational activities; (ii) pictures depicting equipment related to recreational activities, but not people; (iii) pictures depicting wildlife and wildlife viewing equipment.";no
6;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;10.1016/j.ecolind.2023.109992;Aesthetic inspiration*;Artistic inspiration;Learning and inspiration;15;The area provides a rich source of inspiration for activities such as artistic creation, folklore, and architecture, and enables the enjoyment of beauty from different aspects.;no
6;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;10.1016/j.ecolind.2023.109992;Aesthetic inspiration*;Enjoy the landscape;Physical and psychological experiences;16;The area provides a rich source of inspiration for activities such as artistic creation, folklore, and architecture, and enables the enjoyment of beauty from different aspects.;no
6;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;10.1016/j.ecolind.2023.109992;Education humanities*;Cultural heritage;Supporting identities;17;The area has important historical landscapes and objects of important cultural value, which transmit wisdom and knowledge.;no
6;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;10.1016/j.ecolind.2023.109992;Education humanities*;Environmental education;Learning and inspiration;15;The area has important historical landscapes and objects of important cultural value, which transmit wisdom and knowledge.;no
6;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;10.1016/j.ecolind.2023.109992;Recreation and ecotourism;Recreation;Physical and psychological experiences;16;The area is characterized by a natural or man-made landscape, a place where people choose to rest and relax during their leisure time.;yes
41;Spatial analysis of cultural ecosystem services using data from social media: A guide to model selection for research and practice;10.3897/oneeco.8.e95685;10.3897/oneeco.8.e95685;general CES ;Non-material NCP;Non-material NCP;15, 16, 17, 18;We emphasise that this study considered in-situ cultural ecosystem services broadly without disaggregating specific services or assuming user intentions and, therefore, analysis is based on the location of the photographer, not the content captured in the photograph itself (which would require inspection);yes
48;Using image recognition to automate assessment of cultural ecosystem services from social media photographs;10.1016/j.ecoser.2017.09.004;10.1016/j.ecoser.2017.09.004;general CES ;Non-material NCP;Non-material NCP;15, 16, 17, 18;Hierarchical clustering was applied to define seven major groups of photographs, which were were: transport (n = 2768), plant (n = 2485), animal (n = 2951), food (n = 1540), people (n = 1951), sports (n = 727), and landscape and miscellaneous photographs (n = 10,626). ;yes
35;Revealing spatial and temporal patterns of outdoor recreation in the European Alps and their surroundings;10.1016/j.ecoser.2017.11.017;10.1016/j.ecoser.2017.11.017;Outdoor recreation;Recreation;Physical and psychological experiences;16;outdoor recreation activities like hiking, mountain biking, climbing, or skiing;yes
32;Quantifying the visual-sensory landscape qualities that contribute to cultural ecosystem services using social media and LiDAR;10.1016/j.ecoser.2018.03.022;10.1016/j.ecoser.2018.03.022;Historical monuments and coastal attractions;Cultural heritage;Supporting identities;17;Historical monuments and coastal attractions ;yes
32;Quantifying the visual-sensory landscape qualities that contribute to cultural ecosystem services using social media and LiDAR;10.1016/j.ecoser.2018.03.022;10.1016/j.ecoser.2018.03.022;Outdoor activities;Recreation;Physical and psychological experiences;16;Outdoor recreational and leisure activities;yes
32;Quantifying the visual-sensory landscape qualities that contribute to cultural ecosystem services using social media and LiDAR;10.1016/j.ecoser.2018.03.022;10.1016/j.ecoser.2018.03.022;Plants or animals;Enjoy the fauna and flora;Physical and psychological experiences;16;Contained plants and animals;yes
32;Quantifying the visual-sensory landscape qualities that contribute to cultural ecosystem services using social media and LiDAR;10.1016/j.ecoser.2018.03.022;10.1016/j.ecoser.2018.03.022;Sunset/sunrise and weather phenomena;Enjoy the landscape;Physical and psychological experiences;16;Included sunsets/sunrises and weather phenomena;yes
16;Defining and spatially modelling cultural ecosystem services using crowdsourced data;10.1016/j.ecoser.2020.101091;10.1016/j.ecoser.2020.101091;Activity services – hiking environment;Recreation;Physical and psychological experiences;16;"This contribution is generated as an information flow to the individual as the brain and sensory organs interpret the immediate, physical configuration of the ecosystem while performing the physical activity. For example, the terrain on which a person is cycling or running constitutes the ecosystem contribution to the outdoor cycling or running activity; the cultural benefit. Activity services are thus not related to the aesthetics of an ecosystem, which are generated separately as aesthetic services.";yes
16;Defining and spatially modelling cultural ecosystem services using crowdsourced data;10.1016/j.ecoser.2020.101091;10.1016/j.ecoser.2020.101091;Aesthetic services – landscape presence;Enjoy the landscape;Physical and psychological experiences;16;Aesthetic services are generated when ecosystems communicate a sensory configuration of beauty (MA, 2005). This flow of information is registered and shared on social media sites such as Flickr, Instagram and Twitter. The information contributes to the cultural benefit of a scenic view for the individual, the benefit only manifesting itself through human cognitive action and choice.;yes
16;Defining and spatially modelling cultural ecosystem services using crowdsourced data;10.1016/j.ecoser.2020.101091;10.1016/j.ecoser.2020.101091;Naturalist services – species observations;Enjoy the fauna and flora;Physical and psychological experiences;16;People hold strong bonds with nature and gain a sense of place and fulfilment knowing an ecosystem is functioning and in good health (TEEB, 2010b, Díaz et al., 2018). These interactions constitute an information flow in the sense that the ecosystem conveys a notion of ecological meaning. Hence, naturalist services are related to the human enjoyment of ecosystems rather than the development of knowledge. This contributes to the benefit of a species record, evidence of a functioning ecosystem and thus a sense of fulfilment for the individual, in combination with the effort expended in identifying and storing the record.;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Aboriginal;Cultural heritage;Supporting identities;17;Reflect Aboriginal history or connection with coastal and sea country. Examples: Rock art, paintings, artwork;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Biological*;Enjoy the fauna and flora;Physical and psychological experiences;16;Nature appreciation, living organisms. Examples: Animals, plants, habitats such as reefs and mangroves;no
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Biological*;Enjoy the landscape;Physical and psychological experiences;16;Nature appreciation, living organisms. Examples: Animals, plants, habitats such as reefs and mangroves;no
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Economic;Not cultural;;;Natural resources which can be used by people and transportation of these resources. Examples: Oil/gas, mining, minerals, pastoralism, commercial vessels, trucks, trains;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Heritage;Cultural heritage;Supporting identities;17;Reflect European history. Example: World War Two artefacts, exploration, pastoralism;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Learning;Environmental education;Learning and inspiration;15;Enable learning through observation or study. Examples: Clipboards, art centres, museums, photos of natural history specimens;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Nature-based tourism;Recreation;Physical and psychological experiences;16;Tourism opportunities in the natural environment. Example: Tourism infrastructure, accommodation, cruises, cave systems, gorges, rivers, waterfalls, wildlife observation, statues or sculptures, information signs;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Recreation;Recreation;Physical and psychological experiences;16;Outdoor recreation activities. Examples: Off-road vehicles, bicycles, camping gear, sunbathing/swimming, hiking, riding, diving, snorkelling, surfing, social activities such as bonfires and picnics;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Recreational fishing;Recreation (e.g. hunting, fishing);Physical and psychological experiences;16;Fishing for fish or other marine life. Examples: Fishing rods, crab pots;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Scenic;Enjoy the landscape;Physical and psychological experiences;16;Landscapes or attractive scenery. Examples: Gorges, waterfalls, caves, islands, beaches, sunrise/sunset, aerial view over the landscape, moon or stars, natural processes such as fire or lightning;yes
14;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;10.1016/j.ecoser.2023.101566;Spiritual;Spiritual significance;Supporting identities;17;Sacred, religious or spiritually special places (excluding Aboriginal culture). Examples: Churches, graveyards;yes
17;Demand and supply of cultural ecosystem services: Use of geotagged photos to map the aesthetic value of landscapes in Hokkaido;10.1016/j.ecoser.2017.02.009;10.1016/j.ecoser.2017.02.009;Aesthetic value ;Enjoy the landscape;Physical and psychological experiences;16;The aesthetic value of landscapes is the pleasure derived from natural beauty (TEEB, 2010). Aesthetic value is an especially important factor in recreation (Daniel et al., 2012), and is strongly related to market price. For example, residential price is affected by the amount of ocean or lake views;yes
45;Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487;10.1016/j.jenvman.2022.115487;Rural landscapes* Physical;Recreation;Physical and psychological experiences;16;Rural landscapes provide people with a wide range of cultural ecosystem services (CESs), such as recreation, science and education, cultural heritage and aesthetic function. The aim of this study is to assess the dominant rural landscape characteristics of different CESs from physical, experiential, intellectual and inspirational aspects. ;no
45;Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487;10.1016/j.jenvman.2022.115487;Rural landscapes* Experiential;Enjoy the landscape;Physical and psychological experiences;16;Rural landscapes provide people with a wide range of cultural ecosystem services (CESs), such as recreation, science and education, cultural heritage and aesthetic function. The aim of this study is to assess the dominant rural landscape characteristics of different CESs from physical, experiential, intellectual and inspirational aspects. ;no
45;Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487;10.1016/j.jenvman.2022.115487;Rural landscapes* Intellectual;Research;Learning and inspiration;15;Rural landscapes provide people with a wide range of cultural ecosystem services (CESs), such as recreation, science and education, cultural heritage and aesthetic function. The aim of this study is to assess the dominant rural landscape characteristics of different CESs from physical, experiential, intellectual and inspirational aspects. ;no
45;Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487;10.1016/j.jenvman.2022.115487;Rural landscapes* Intellectual;Environmental education;Learning and inspiration;15;Rural landscapes provide people with a wide range of cultural ecosystem services (CESs), such as recreation, science and education, cultural heritage and aesthetic function. The aim of this study is to assess the dominant rural landscape characteristics of different CESs from physical, experiential, intellectual and inspirational aspects. ;no
45;Understanding different cultural ecosystem services: An exploration of rural landscape preferences based on geographic and social media data;10.1016/j.jenvman.2022.115487;10.1016/j.jenvman.2022.115487;Rural landscapes* Intellectual;Cultural heritage;Supporting identities;17;Rural landscapes provide people with a wide range of cultural ecosystem services (CESs), such as recreation, science and education, cultural heritage and aesthetic function. The aim of this study is to assess the dominant rural landscape characteristics of different CESs from physical, experiential, intellectual and inspirational aspects. ;no
