ID;Title;DOI;Authors;Extraccion de data de redes sociales;**Aborda aspectos relacionales?**;**Extracción de información de las redes sociales**;Intrumental/relational/intrinsic;CES relacionales;Consideraciones;Boundles Elicit;Seleccion de variables;Data extraction;Metrics variable;Relational;Intrinsec;Instrumental;Ethical considerations;Transparency;Accessibility;Replicability;Bundles
198;Big data and evaluation of cultural ecosystem services: an analysis based on geotagged photographs from social media in Tuscan forest (Italy);10.3832/ifor2821-011;Iacopo Bernetti, Gherardo Chirici, Sandro Sacchelli;The data extraction mechanism involves collecting geotagged photographs from Flickr, focusing on their geographic location and density, without analyzing the content of the photos or using human tagging, AI, image analysis, or text analysis.;No, the paper does not address relational aspects or interactions between cultural ecosystem services. It focuses on individual forest stands and their aesthetic appreciation.;The paper uses geotagged photographs from Flickr to extract data, focusing on geographic location and density of pictures. It does not specify whether human tagging or AI is used, nor does it mention image or text analysis.;multiple values;The paper mentions CES with relational values based on the analysis of geotagged photographs, focusing on aesthetic appreciation and relating it to forest variables and species. High values of CES are noted for high forest and protected areas, with certain species like silver fir and beech being more appreciated. Quantitative parameters such as elevation and biomass stock are also significant in the CES assessment.;Not mentioned (the paper does not explicitly address ethical considerations, transparency, replicability, or accessibility);Not mentioned (the paper does not explicitly discuss bundles or trade-offs between services);"- Variables selected: forest species (silver fir, coastal Mediterranean pine, beech, mixed forests), elevation, biomass stock, distance to main roads
- Criteria for selection: Not mentioned";geolocated photos;no;no;no;yes;no;no;no;no;no
379;Biodiversity and infrastructure interact to drive tourism to and within Costa Rica;10.1073/pnas.2107662119;;;;;;;;;;geolocated photos;Variance Inflation Factor (VIF);yes;no;no;yes;yes;yes;yes;no
177;Can We Foresee Landscape Interest? Maximum Entropy Applied to Social Media Photographs: A Case Study in Madrid;10.3390/land11050715;Nicolas Marine, Cecilia Arnaiz-Schmitz, Luis Santos-Cid, María F Schmitz;"The data extraction from social networks involves using georeferenced photographs from Panoramio, with manual classification by researchers into categories based on the content of the images. There is no mention of AI or automated image analysis; the focus is on spatial distribution using geotagging information.";No, the paper does not address relational aspects or interactions between cultural ecosystem services. It focuses on evaluating the effectiveness of MaxEnt in predicting CES based on social media photographs and does not explore relational aspects or trade-offs between different CES.;"The extraction of information from social networks in this study involves using georeferenced photographs from Panoramio, with metadata such as username, upload date, title, hashtags, and location. The photographs are manually classified into categories by researchers based on their content. There is no mention of using artificial intelligence or automated image analysis; the process relies on human tagging and analysis of metadata.";relational;"- Natural system: Majority presence of flora and fauna in a wild state.
- Urban system: Majority presence of architectural and urban elements.
- Rural system: Majority presence of agrosilvopastoral elements.
- Water bodies: Majority presence of aquatic elements.
- Recreational activities: Presence of people engaged in sports or walking activities.
- Cultural activities: Presence of museums, monuments, food or typical products.";The paper mentions that the authors declare no conflict of interest, but it does not provide detailed ethical considerations or discuss transparency, accessibility, or replicability beyond stating that the data availability statement is not applicable.;Not mentioned (the paper does not explicitly analyze interactions between services or bundles/trade-offs);The selection of variables is based on their relevance to the study area and the type of data available, including land use and land cover, geomorphology, communication infrastructures, and heritage assets. The variables are continuous, and proximity indices are calculated using the Kernel tool. The selection appears to be influenced by the data itself and how it is processed, as indicated by the jackknife values and the dependence on different variables in different samples.;labelling by humman;no;no;no;yes;yes;no;no;no;no
19;Characterizing nature-based recreation preferences in a Mediterranean small island environment using crowdsourced data;10.1080/26395916.2023.2274594;Laura Costadone, Mario V Balzan;The data extraction from social media involved using the Google Cloud Vision API to analyze images uploaded to Flickr, which assigned labels to identify nature-based interactions. This was complemented by manual content analysis to refine accuracy and eliminate non-relevant images. Co-occurrence analysis of labels and geographic label distribution were also used to further refine connections between labels and people's preferences.;The paper does consider relational aspects, such as the impact of nature-based recreation on biodiversity and ecosystem services, trade-offs between different services, and the need to integrate recreational services into landscape planning to mitigate negative impacts. It also highlights the importance of maintaining conservation value and ecosystem service capacities in areas with high recreational activity.;The paper uses the Google Vision machine learning algorithm for automated image analysis to extract information from Flickr images. It also involves manual verification of a subset of images to ensure accuracy. The study does not use human tagging or text analysis but relies on automated image analysis and co-occurrence analysis of labels.;multiple values;Not mentioned (the paper does not explicitly mention CES relational values);The paper implies considerations for transparency, replicability, accessibility, and ethical use through its methodology and application, but does not explicitly address these in a dedicated section.;Yes, the paper analyzes interactions between services/bundles/trade-offs, particularly in the context of balancing human recreation with biodiversity conservation and ecosystem service management.;The selection of variables was based on a stepwise approach using the Akaike Information Criterion (AIC) to select the best-fit model from a set of explanatory variables including land use/land cover type, road network, coastal zones, protected areas, population size, and habitat distribution.;"labelling by AI;labelling by humman";Akaike Information Criterion (AIC);no;no;yes;no;no;no;no;no
29;Combining social media photographs and species distribution models to map cultural ecosystem services: The case of a Natural Park in Portugal;10.1016/j.ecolind.2018.08.043;Pedro Clemente, Marta Calvache, Paula Antunes, Rui Santos, Jorge Orestes Cerdeira, Maria João Martins;"- Mechanism of data extraction: Flickr API
- Human tagging: Yes, researchers manually classified photographs
- Content analysis: Yes, researchers analyzed the content of photographs to determine CES
- Use of AI: No
- Use of image analysis: No
- Use of text analysis: No";Yes, the paper addresses relational aspects by identifying spatial overlaps between different CES, such as Recreation & Aesthetics services, and discussing how CES are interconnected with other ecosystem services, leading to synergies and trade-offs.;The paper uses geo-tagged photographs from Flickr as a proxy for people's preferences for cultural ecosystem services (CES). The photographs were analyzed and classified by researchers according to a tailored list of CES, indicating a human tagging process. The use of Maxent, a species distribution model, was adapted to combine the observation of CES occurrence with biophysical and infrastructural variables, but it does not involve AI or image analysis. The process involves human interpretation and classification of photos, which is a manual process rather than automated AI or image analysis.;multiple values (instrumental, relational, intrinsic);The paper mentions the relational aspects of CES, highlighting significant spatial overlaps between services like Recreation and Aesthetics, and interconnections with other ecosystem services. The table on page 8 likely provides more detailed relational data.;The paper addresses ethical considerations by noting biases in photo interpretation and representativeness. It discusses accessibility issues related to technology access and demographic factors. Transparency is implied through the use of Maxent and the provision of tools for stakeholders. Replicability is supported by the cost-effective and accessible nature of using social media data.;The paper analyzes interactions between services/bundles/trade-off by identifying spatial overlaps between different cultural ecosystem services (CES) such as Recreation and Aesthetics, and discussing their interconnections with other types of ecosystem services, leading to synergies and trade-offs.;The selection of variables was based on existing literature and expert opinions. Eight variables were selected, including four bio-physical components and four infrastructural factors, using open sources and proximity indices calculated as Euclidean distances.;labelling by humman;Expert knowledge;yes;no;yes;no;no;yes;no;no
566;Continental-scale quantification of landscape values using social media data;10.1073/pnas.1614158113;Boris T Van Zanten, Derek B Van Berkel, Ross K Meentemeyer, Jordan W Smith, Koen F Tieskens, Peter H Verburg, Alexander Stewart Fotheringham, K F T Analyzed;"- Data extraction mechanism: APIs from Panoramio, Flickr, and Instagram.
- Data processing: Keyword filtering for Flickr and Instagram using text analysis.
- Tools used: Python libraries (Pandas, Textblob, PyProj).
- Spatial analysis: Aggregation into 5 × 5-km resolution raster and alignment in ArcGIS.";The paper considers relational aspects by examining interactions between landscape features and their impact on cultural ecosystem services. It identifies specific features like topography, proximity to water bodies, and land cover patterns as influential factors and quantifies their effects using a generalized mixed-effects model.; ;instrumental, relational;"- Aesthetic appeal: Hills and mountains are strong predictors.
- Recreation and leisure activities: Distance to water bodies is a strong predictor in Instagram.
- Social and cultural significance: Presence of hedges and tree lines is a strong predictor in Flickr.
- Mental health and well-being: Not explicitly mentioned but implied through aesthetic and recreational values.
- Population density: Positively related to aesthetic and outdoor recreation values.
- Protected areas: Significantly higher photo concentrations in protected areas for Panoramio and Instagram.
- Per capita GDP: Strongest positive predictor for Flickr and Instagram, but insignificant due to spatial autocorrelation.";;The paper analyzes interactions between services/bundles/trade-off by examining how different landscape features such as accessibility, population density, and proximity to water bodies contribute to aesthetic and outdoor recreation values. It uses a predictive model to quantify these interactions at a continental scale.;The selection of variables was based on their relevance to landscape values and accessibility, as described in the SI Appendix, Table S3. The criteria for selection are not explicitly mentioned in the main text, but the variables were chosen based on their potential to influence landscape values.;text analysis;no;yes;no;yes;yes;yes;yes;yes;no
28;Crowdsourcing indicators for cultural ecosystem services: A geographically weighted approach for mountain landscapes;10.1016/j.ecolind.2015.12.042;Patrizia Tenerelli, Urska Demsar, Sandra Luque;The paper uses geo-tagged images from social media to assess revealed preferences, focusing on spatial information (location) without explicit mention of human tagging, AI, image analysis, or text analysis.;"The paper considers relational aspects by examining how landscape settings are associated with people's preferences and perceptions related to cultural ecosystem services. It uses spatially weighted regression to identify drivers of these services at the local scale, which implies a relational analysis. However, it does not explicitly mention ""bundles"" or ""trade-offs.""";The paper uses geo-tagged images from social media to assess revealed preferences, focusing on spatial patterns and landscape settings. The exact mechanisms of data extraction (e.g., human tagging, AI, image analysis) are not explicitly mentioned.;instrumental, relational;The paper discusses the relational aspects of cultural ecosystem services (CES) by analyzing how landscape settings are associated with people's preferences and perceptions, and how specific variables drive CES at the local scale. It uses crowdsourced data to identify spatial patterns and associations with landscape settings.;Not mentioned (the paper does not explicitly address ethical considerations, transparency, accessibility, or replicability);The paper analyzes interactions between cultural ecosystem services and their spatial distribution, indicating an examination of service bundles and trade-offs in mountain landscapes.;Not mentioned (the paper does not specify the criteria used for selecting predictor variables);geolocated photos;no;yes;no;yes;no;no;no;no;no
77;Crowdsourcing social values data: Flickr and public participation GIS provide different perspectives of ecosystem services in a remote coastal region;10.1016/j.ecoser.2023.101566;Tahlia Daymond, Margaret E Andrew, Halina T Kobryn;The data extraction mechanism from social media involved content analysis of geotagged photos shared on Flickr. Human analysts developed a ruleset to classify social values based on previous studies and preliminary screening. Photos were analyzed independently by three authors, with auxiliary information from user text and Google Maps used to aid interpretation. The focus was on identifying social values and determining their relative popularity.;The paper does not explicitly address relational aspects, interactions, bundles, or trade-offs between cultural ecosystem services. It focuses on comparing individual social values as represented by Flickr and PPGIS datasets.;The extraction of information from social media involved content analysis of geotagged photos shared on Flickr. Human coders independently analyzed photos to identify social values, using a developed ruleset and auxiliary information like user-supplied text and Google Maps searches. The process relied on human interpretation rather than automated methods like AI or image analysis.;multiple values (instrumental, relational);The paper discusses relational aspects of cultural ecosystem services (CES) through the social values typology, which includes values such as scenic, Aboriginal, heritage, learning, spiritual, recreation, recreational fishing, economic, nature-based tourism, and biological. These values are related to cultural and provisioning services.;The paper addresses ethical considerations by discussing concerns about representativeness, accessibility, and ethical use of social media data. It emphasizes the need for further study to evaluate suitability for environmental planning, highlighting issues of replicability and transparency. The paper also notes differences in contributor motivations and the uncontrolled nature of Flickr datasets, affecting transparency and ethical use. It concludes that thoughtful application and interpretation are necessary for transparency and ethical considerations.;Not mentioned (the paper does not analyze interactions between services/bundles/trade-off);The selection of variables was based on expert knowledge of the study area and understanding developed through content analysis of Flickr photos, as well as informed by published models of social values in the literature.;labelling by humman;Expert knowledge;yes;no;yes;yes;yes;yes;yes;no
23;Cultural ecosystem services provided by rivers across diverse social-ecological landscapes: A social media analysis;10.1016/j.ecolind.2019.105580;Rebecca L Hale, Elizabeth M Cook, Bray J Beltrán;The data extraction mechanism from social media involves analyzing the text (title, tags, descriptions) associated with geo-located Flickr images to quantify cultural ecosystem services (CES). The method is a bottom-up, data-driven approach that uses metadata from Flickr images and focuses on text analysis rather than visual content analysis.;The paper does address relational aspects by examining how cultural ecosystem services (CES) are supported by landscape features and identifying bundles of CES that differ from traditional categories. It critiques traditional categories for not capturing these relational dynamics and suggests a more nuanced understanding of CES interactions with landscape factors.;The extraction of information from social media in this study involves analyzing the text (title, tags, descriptions) associated with geo-located Flickr images, using a bottom-up, data-driven approach. This method focuses on text analysis rather than image content analysis or human tagging.;instrumental;"The paper mentions ""Social Relations"" as a CES category, which implies relational values, but does not explicitly use the term ""relational values.""";The paper discusses transparency in using social media data for CES quantification, notes limitations in accessibility due to demographic data gaps, and highlights the need for validation and calibration for replicability. Ethical considerations are implied through discussions of data limitations and biases.;The paper identifies four distinct CES clusters that are distinct from traditional CES categories. These clusters include specific activities and aspects of existence and aesthetic values, indicating that CES do not bundle in the same way as traditionally categorized.;"- Logistic regression: Selection based on Akaike Information Criterion (AIC) using the ""glmulti"" package.
- Linear regression: Selection based on R² using the ""leaps"" package.
- Removal of collinear variables based on Variance Inflation Factor (VIF).
- Removal of variables with limited data.
- Stepwise model selection in redundancy analysis.";text analysis;"Akaike Information Criterion (AIC);Variance Inflation Factor (VIF)";yes;no;yes;no;yes;yes;no;yes
65;Defining and spatially modelling cultural ecosystem services using crowdsourced data;10.1016/j.ecoser.2020.101091;Ilan Havinga, Patrick W Bogaart, Lars Hein, Devis Tuia;"- Mechanism: Use of APIs to extract data (e.g., Flickr API for geo-located photos).
- Data extraction: Location data and content of images from Flickr; textual data from Twitter for sentiment analysis.
- Analysis: Use of machine learning methods to automate analysis of large datasets.";The paper does not explicitly address relational aspects, bundles, or trade-offs between cultural ecosystem services. It focuses on defining and categorizing CES, suggesting an isolated approach to each service rather than exploring their relational dynamics.; ;multiple values (instrumental, relational);The paper mentions CES with relational values, particularly in terms of cultural identity, heritage, knowledge, and spiritual services. These services are conceptualized as information flows that contribute to cultural experiences and benefits, highlighting their relational significance.;The paper addresses ethical considerations by discussing privacy and consent issues with crowdsourced data, emphasizing user awareness and control, and highlighting legislative developments like GDPR. It also touches on transparency and replicability by noting the need for anonymizing data and restricting access.;Not mentioned (the paper does not analyze bundles or trade-offs between services);The selection of variables was based on an iterative process that considered established conceptual thinking, sources of crowdsourced data, and the authors' experiences. The criteria for selecting studies included a focus on human-nature interactions, use of geo-located records, operational sources, and international relevance. The service categories were shaped by the information available from identified sources.;"labelling by AI;labelling by humman";no;no;no;yes;yes;yes;yes;yes;no
78;Demand and supply of cultural ecosystem services: Use of geotagged photos to map the aesthetic value of landscapes in Hokkaido;10.1016/j.ecoser.2017.02.009;Nobuhiko Yoshimura, Tsutom Hiura;"The data extraction mechanism involves using Flickr's API to access metadata such as photo ID, user ID, location coordinates, and tags. The authors use a keyword filter (""landscape"") to extract relevant photos, and then use viewsheds to estimate locations from Flickr photos. The method does not involve human tagging or AI-based image analysis; instead, it relies on the metadata and viewsheds to estimate demand and supply areas.";The paper considers relational aspects by examining interactions between demand and potential supply areas for aesthetic value, identifying trade-offs between different land use types, and discussing bundles of ecosystem services such as cultural and provisioning services. It also explores how environmental factors contribute to aesthetic value and biodiversity richness.;"The paper uses geotagged photos from Flickr, extracting metadata such as location and tags. It filters landscape photos using the ""landscape"" keyword and uses spatial analysis techniques like viewsheds and MaxEnt software. There is no mention of human tagging, AI-based image analysis, or text analysis. The method relies on metadata and spatial distribution of photo locations.";multiple values (instrumental, relational);"- Aesthetic value of landscapes: pleasure derived from natural beauty, important for recreation and ecotourism.
- Demand areas: concentrated in natural parks, forests, and farmland.
- Potential supply areas: exceed demand areas in national parks, significant supply gaps in forests.
- Environmental factors contributing to potential supply: distance from volcanic topography, type of topography, variety of topography, naturalness, distance from lakes.
- Relationship with biodiversity: areas with high aesthetic value are also important for biodiversity conservation.";The paper addresses transparency by improving upon existing methods for estimating aesthetic value using geotagged photos. It discusses replicability by providing a direct method for mapping demand and supply. Accessibility is considered through the use of cost-effective SNS data. Ethical considerations include addressing limitations such as positional accuracy and sample representativeness, acknowledging biases in SNS data, and the need for further demographic studies.;The paper analyzes interactions between services/bundles/trade-offs by identifying areas with potential supply despite low demand, highlighting the relationship between aesthetic value and biodiversity richness, and considering the potential for both CES and provisioning services in farmland.;The selection of variables was based on previous studies and expert knowledge, focusing on naturalness, water influence, and topography. The variables were chosen to ensure they did not have significant correlations with each other (all r < 0.4). The selection was also influenced by the use of MaxEnt software, which uses machine-learning to estimate probability distributions based on observed environmental factors.;tags filtering;"Expert knowledge;Correlation analysis";no;no;yes;yes;yes;yes;yes;no
359;Digital conservation in biosphere reserves: Earth observations, social media, and nature’s cultural contributions to people;10.1111/conl.12704;Ana Sofia Vaz, Ricardo A Moreno-Llorca, João F Gonçalves, Joana R Vicente, Pablo F Méndez, Eloy Revilla, Luis Santamaria, Francisco J Bonet-García, João P Honrado, Domingo Alcaraz-Segura, Ana Sofia Vaz, Iecolab; ;No, the paper does not explicitly address relational aspects, interactions, or trade-offs between different cultural ecosystem services. It focuses on evaluating individual categories of nature's cultural contributions to people in two biosphere reserves using a multimodel inference framework.;The extraction of information from social media involved manual classification of georeferenced Flickr photographs into specific categories based on their content. The data collection was automated using APIs and Python tools, but the analysis was done manually by categorizing each photograph into one of five categories. There is no mention of AI or automated image analysis tools being used.;multiple values (instrumental and relational);"Not mentioned (the paper does not explicitly mention ""CES relacionales"" or provide relational values for CES)";The paper addresses ethical considerations by noting that social media users' photo sharing decisions may not reflect true preferences. It discusses transparency by suggesting future research on user motivations. Accessibility and replicability are considered through the reproducibility of the framework and potential biases in Earth observation data.;The paper analyzes interactions between services/bundles/trade-offs by evaluating nature's cultural contributions to people in two biosphere reserves, identifying key predictors, and maximizing synergies between biodiversity conservation and cultural values.;The selection of variables was based on statistical criteria to avoid correlation and multicollinearity, using a pairwise Spearman value less than 0.6 and a Variance Inflation Factor (VIF) less than 5. Additionally, due to the small sample size, the maximum number of predictors per model was limited to four.;labelling by humman;"Variance Inflation Factor (VIF);Spearman correlation";no;no;yes;yes;yes;yes;yes;no
204;Digital footprints: Incorporating crowdsourced geographic information for protected area management;10.1016/j.apgeog.2017.11.004;Chelsey Walden-Schreiner, Yu-Fai Leung, Laura Tateosian;The data extraction from social media in the study involved using the Flickr API to collect metadata from geotagged photos, including geolocation and temporal data. The process focused on metadata without analyzing the image content or performing text analysis. A manual review was conducted on a sample of photos to assess spatial accuracy.;The paper does not explicitly address relational aspects or interactions between cultural ecosystem services. It focuses on understanding visitor distribution patterns and the influence of infrastructure and environmental factors, but does not consider bundles or trade-offs between services.;"The study uses geotagged photo metadata from Flickr, queried through the Flickr API using R software. The content of photos is assessed for spatial accuracy by identifying photos near landmarks and manual review of a random sample. No AI or image analysis is used; the focus is on spatial distribution patterns from metadata. Future research is recommended to include content analysis of photos.";instrumental;Not mentioned (the paper does not provide specific relational values or detailed analysis of CES);The paper addresses transparency by highlighting the accuracy and timeliness of geotagged photos. It discusses replicability by noting the shift from digital cameras to mobile devices and the potential for crowdsourced correction. Accessibility is enhanced by reducing barriers to data collection. Ethical considerations include potential biases in user demographics and the need for further research into these dynamics.;Not mentioned (the paper does not explicitly discuss bundles or trade-offs in the context of services or interactions);The selection of variables was based on expert judgment and literature review, focusing on the purpose of infrastructure as transportation corridors or destinations and environmental characteristics based on recreation ecology literature.;geolocated photos;Expert knowledge;no;no;yes;yes;yes;yes;yes;no
270;Disparity in Perceptions of Social Values for Ecosystem Services of Urban Green Space: A Case Study in the East Lake Scenic Area, Wuhan;10.3389/fpubh.2020.00370;China Gulnihal Law, Ozbay, Xinli Ke, Min Min, Yuanyuan Chen, Peng Cheng; ;The paper considers relational aspects by examining the interactions between social values and environmental conditions, such as distance to water and land use/cover. It also discusses trade-offs and bundles of ecosystem services by analyzing how these factors influence social values differently for residents and tourists.;The paper uses Sina Blog as a data source, collecting text posts and photos. It does not specify whether human tagging or AI is used for content analysis. The focus is on spatial information from photos and text to identify locations and social values.;multiple values;The paper discusses cultural ecosystem services (CES) in terms of their role in urban planning and social values, particularly cultural services. It identifies key social values related to CES as recreation, culture, history, future, and aesthetic values. The paper uses SolVES to analyze these values and their relationships with environmental conditions. The relational values are implied through the discussion of social value indicators and their importance to different stakeholder groups.;"- Ethical approval: Not required according to local legislation and national guidelines.
- Transparency: No conflict of interest; raw data and supplementary materials available online.
- Accessibility: Raw data and supplementary materials available online.
- Replicability: Supported by availability of data and materials, but detailed replication methods not explicitly mentioned.";The paper analyzes interactions between services/bundles/trade-offs by examining the relationships between social values and environmental conditions, and how these interactions differ between residents and tourists.;The selection of variables was based on their potential to explain spatial variations in social value intensity, focusing on distance to road, water, elevation, and land use/cover, which are relevant to visitor choice and natural conditions.;geolocated photos and text;no;yes;no;no;yes;yes;yes;yes;no
173;Earth observation and social media: Evaluating the spatiotemporal contribution of non-native trees to cultural ecosystem services;10.1016/j.rse.2019.05.012;Ana Sofia Vaz, João F Gonçalves, Paulo Pereira, Frederico Santarém, Joana R Vicente, João P Honrado; ;The paper does not explicitly address relational aspects or interactions between different cultural ecosystem services. It focuses on the contributions of non-native trees to specific services like landscape aesthetics and nature recreation, without discussing trade-offs or bundles between these services.;The paper uses manual classification by human observers to identify the dominant tree species and the focus of photographs from social media platforms Flickr and Wikiloc. Statistical analysis, such as chi-square tests and computation of odds ratios, is applied to these manually classified data. There is no mention of using AI or automated image analysis techniques.;multiple values (instrumental and relational);"The paper does not explicitly mention ""CES relacionales,"" but it discusses the relational aspects of cultural ecosystem services (CES) through the use of odds ratios and a multimodel framework that evaluates the contributions of non-native trees to landscape aesthetics and nature recreation.";The paper addresses ethical considerations by not analyzing private data, discusses transparency by acknowledging potential biases in data collection, and implies replicability by using publicly available data. Accessibility is enhanced through the use of multiple data sources.;The paper analyzes interactions between ecosystem services, specifically focusing on the contributions of non-native trees to cultural services and how these are influenced by environmental context and visual-sensory features across different seasons. It implies a consideration of bundles of ecosystem services in land planning and management.;The selection of variables involved testing for pair-wise correlations and multicollinearity using Pearson correlation and variance inflation factors (VIF). Variables with high correlations (>0.6) and high VIFs (>4) were discarded. The selection process also considered the performance of variables in a multimodel inference framework, with the best model combining both environmental context and landscape visual-sensory predictors.;labelling by humman;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;yes;yes;yes;yes;no
145;Evaluating the supply and demand of cultural ecosystem services in the Tibetan Plateau of China;10.1007/s10980-022-01467-z;Jinxi Zhang, Chunyang He, Qingxu Huang, Jian Li, Tao Qi;The extraction of social media data involved collecting geotagged review data from Ctrip.com, processing it through filtering and text analysis to categorize sites into different CES types based on keywords, and using kernel density estimation to quantify demand. The analysis included text analysis to understand public attitudes and preferences.;The paper does not explicitly address relational aspects, interactions, bundles, or trade-offs between different cultural ecosystem services. It focuses on the spatial mismatch between supply and demand for individual CESs.;The paper uses geotagged review data from Ctrip.com, applies manual filtering and text analysis to categorize sites into different CES types based on keywords, and uses kernel density estimation to quantify demand. It does not mention the use of AI or image analysis.;multiple values (instrumental, relational);"Not mentioned (the paper does not explicitly mention ""CES relacionales"" or provide relational values for CESs)";The paper addresses accessibility and replicability by using social media big data and the SolVES model. It acknowledges limitations related to ethical considerations, such as potential bias in social media data. However, it does not explicitly discuss transparency or detailed ethical considerations.;Not mentioned (the paper does not discuss bundles or trade-offs between services);The selection of variables is based on their ability to effectively reflect the natural conditions of locations providing CESs, including land use, slope, elevation, distance to water (DTW), and distance to roads (DTR). The criterion appears to be based on relevance to the ecosystem services being studied, likely involving expert judgment.;text filtering;Expert knowledge;yes;no;yes;no;yes;yes;yes;no
30;Explicit quantification of coastal cultural ecosystem services: A novel approach based on the content and sentimental analysis of social media;10.1016/j.ecolind.2022.108756;Haojie Cao, Miao Wang, Shiliang Su, Mengjun Kang;"- Mechanism of data extraction: Machine learning and content analysis
- Use of AI: Yes, for image and text analysis
- Image analysis: Yes, using Google Cloud Vision API
- Text analysis: Yes, using Google Cloud Natural Language API
- Human tagging: No, automated processes are used";The paper does consider relational aspects by examining the spatial distribution and concentration of CESs in cultural attractions and protected areas, and by quantifying relationships between CESs and sentiments with demographic and temporal factors. It also provides insights into users' perceptions and valuations, which could imply an examination of trade-offs or bundles. However, it does not explicitly mention bundles or trade-offs in the context of CESs.;The paper uses a combination of machine learning and human involvement for data extraction from social media. It employs the Google Cloud Vision API for image analysis and the Google Cloud Natural Language API for sentiment analysis of user-generated text. Human involvement includes manual translation and removal of irrelevant text. The process combines content analysis and natural language processing to extract information from geotagged photographs and textual content on Flickr.;multiple values;"- Recreational services: associated with cycling and water transportation
- Aesthetic services: highest dominance value for coastal and oceanic landforms
- Amenity services: related to resorts and outdoor furniture
- Knowledge services: include pollinators, maps, agriculture, and bioluminescence
- Naturalistic services: refer to wildlife, plants, and abiotic components
- Spiritual services: associated with historical sites like sculptures and temples";The paper addresses ethical considerations by ensuring privacy through aggregated data presentation. Transparency is demonstrated by detailed methods and data collection. Accessibility is considered through publicly accessible data. Replicability is supported by detailed method descriptions. Limitations include subjective judgment and data distribution issues.;The paper analyzes interactions between different Cultural Ecosystem Services (CESs) and related sentiments, focusing on their spatial distribution and associations with sociodemographic and temporal factors, indicating an analysis of service bundles.;The selection of variables was based on related literature, focusing on temporal characteristics (seasonal variations and daytime/nighttime visits) and sociodemographic characteristics (origins of tourists). The criteria for selection were not explicitly mentioned, but the choice was informed by existing research and relevance to the study's objectives.;"labelling by AI;text mining";no;yes;no;yes;no;yes;yes;yes;no
172;Exploring the Influencing Factors of the Recreational Utilization and Evaluation of Urban Ecological Protection Green Belts for Urban Renewal: A Case Study in Shanghai;10.3390/ijerph181910244;Weiqi Zhao, Yun Wang, Dan Chen, Ling Wang, Xiaomin Tang;"The study uses Sina Weibo sign-in data to quantify recreational utilization. The data includes location and status information, which is used to measure recreational utilization based on the correlation between social media post density and actual visits. No human tagging or AI analysis of post content is mentioned; the focus is on location and time data.";The paper considers relational aspects by examining interactions between internal and external factors affecting recreational utilization. It discusses positive correlations between green space size and water bodies with recreational use, as well as the impact of external factors like accessibility and surrounding services. The study implies consideration of bundles or synergies by suggesting that increasing cultural facilities and restaurants can enhance recreational utilization. It also suggests awareness of trade-offs by balancing ecological functions with recreational transformation.;The study uses Sina Weibo sign-in data, which includes user ID, longitude, latitude, and time, to quantify recreational utilization. The data is obtained through an API agreement with Sina Weibo, indicating an automated process. The analysis is based on the density of check-ins to correlate with actual visits, without any mention of human tagging or AI analysis of post content.;instrumental, relational;"The paper provides relational values for some factors affecting recreational utilization of the green belt, such as a 0.71% increase in recreational potential for a 1% increase in green land and water bodies, and a 2.33% increase in recreational utilization for a 1% increase in cultural facilities and restaurants. However, it does not explicitly mention ""CES relacionales"" or provide a comprehensive list of relational values for all factors.";The paper addresses transparency by stating that data is available on request but not publicly due to privacy. It declares no conflict of interest, addressing ethical considerations. However, it notes limitations in replicability due to data privacy and demographic biases in social media data.;The paper analyzes the bundle of ecological and recreational services in urban green belts, highlighting the positive impact of green spaces and water bodies on recreational activities, and the role of cultural facilities and restaurants in enhancing recreational utilization. It also discusses the trade-off between ecological and recreational services in urban planning.;The selection of variables was based on theoretical assumptions about factors influencing recreational utilization of green belts, including internal attributes, accessibility, and surrounding service facilities. The selection process involved testing different regression models to find the best fit, with the logarithmic model being chosen for its high explanatory power. Statistical criteria such as VIF and model fit were used to guide the selection.;geolocated sign-in;Variance Inflation Factor (VIF);no;no;yes;no;yes;yes;no;no
209;Geodiversity Supports Cultural Ecosystem Services: an Assessment Using Social Media;10.1007/s12371-022-00665-0;;;;;;;;;;"labelling by AI;text filtering;sentimental analysis";no;yes;no;yes;yes;yes;yes;yes;no
403;Geolocated social media as a rapid indicator of park visitation and equitable park access;10.1016/j.compenvurbsys.2018.01.007;;;;;;;;;;geolocated photos;no;no;no;yes;no;yes;yes;yes;no
